Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,
"Rakdos Signet",1,63235,Uncommon,MM3,225/249,No,No
"Island",3,61833,Basic Land,KLD,254/264,No,No
"Carnage Gladiator",1,63483,Uncommon,MM3,155/249,No,No
"Chandra's Outrage",1,63231,Common,MM3,92/249,No,No
"Thunderous Wrath",1,63319,Common,MM3,113/249,No,No
"Pyrewild Shaman",1,63435,Uncommon,MM3,106/249,No,No
"Dimir Guildgate",1,63467,Common,MM3,234/249,No,No
"Mountain",6,61837,Basic Land,KLD,261/264,No,No
"Hanweir Lancer",2,63327,Common,MM3,97/249,No,No
"Bonfire of the Damned",1,63345,Mythic Rare,MM3,91/249,No,No
"Rubblebelt Maaka",1,63434,Common,MM3,109/249,Yes,No
"Dynacharge",1,63365,Common,MM3,94/249,No,No
"Dragon Fodder",1,63141,Common,MM3,93/249,No,No
"Sedraxis Specter",1,63131,Uncommon,MM3,181/249,No,No
"Kathari Bomber",1,63177,Common,MM3,172/249,No,No
"Magma Jet",1,63493,Common,MM3,100/249,No,No
"Spike Jester",1,63473,Common,MM3,188/249,No,No
"Crumbling Necropolis",2,63151,Uncommon,MM3,233/249,No,No
"Mudbutton Torchrunner",1,63103,Common,MM3,104/249,No,No
"Swamp",5,61847,Basic Land,KLD,256/264,No,No
"Extractor Demon",1,63171,Rare,MM3,69/249,No,No
"Skirsdag Cultist",1,63273,Uncommon,MM3,112/249,No,No
"Mizzium Mortars",1,63376,Rare,MM3,101/249,Yes,No
"Battle-Rattle Shaman",1,63221,Common,MM3,89/249,No,No
"Entomber Exarch",1,63253,Uncommon,MM3,68/249,No,No
"Scourge Devil",2,63133,Common,MM3,111/249,No,No

"Revive",1,63043,Common,MM3,133/249,No,Yes
"Golgari Rotwurm",1,63065,Common,MM3,168/249,No,Yes
"Mystical Teachings",1,63084,Common,MM3,44/249,Yes,Yes
"Scourge Devil",1,63133,Common,MM3,111/249,No,Yes
"Rhox War Monk",1,63147,Uncommon,MM3,180/249,No,Yes
"Wall of Denial",1,63175,Uncommon,MM3,201/249,No,Yes
"Night Terrors",1,63299,Common,MM3,79/249,No,Yes
"Goblin Electromancer",1,63369,Common,MM3,166/249,No,Yes
"Selesnya Signet",1,63387,Uncommon,MM3,226/249,No,Yes
"Pyroclasm",1,63051,Uncommon,MM3,107/249,No,Yes
"Augur of Bolas",1,63353,Common,MM3,30/249,No,Yes
"Goblin Electromancer",1,63370,Common,MM3,166/249,Yes,Yes
"Cower in Fear",1,63359,Common,MM3,62/249,No,Yes
"Rubblebelt Maaka",2,63433,Common,MM3,109/249,No,Yes
"Spire Monitor",1,63259,Common,MM3,52/249,No,Yes
"Stony Silence",2,63503,Rare,MM3,25/249,No,Yes
"Agent of Masks",1,63530,Uncommon,MM3,149/249,Yes,Yes
